latitude,longitude,last_update,temperature,pressure,wind_speed,humidity
53.34,-6.25,2020-03-10 20:46:02,5.980000000000018,1004.0,3.6,81.0
53.34,-6.24,2020-03-10 20:46:02,5.980000000000018,1004.0,3.6,81.0
53.34,-6.28,2020-03-10 20:46:02,5.980000000000018,1004.0,3.6,81.0
53.35,-6.29,2020-03-10 20:46:02,5.970000000000027,1004.0,3.6,81.0
53.33,-6.27,2020-03-10 20:41:03,6.28000000000003,1004.0,3.6,81.0
53.34,-6.31,2020-03-10 20:46:02,5.970000000000027,1004.0,3.6,81.0
53.34,-6.29,2020-03-10 20:46:02,5.980000000000018,1004.0,3.6,81.0
53.36,-6.26,2020-03-10 20:46:02,5.980000000000018,1004.0,3.6,81.0
53.34,-6.27,2020-03-10 20:45:13,6.27000000000004,1004.0,3.6,81.0
53.35,-6.25,2020-03-10 20:44:51,6.27000000000004,1004.0,3.6,81.0
53.34,-6.25,2020-03-10 20:45:02,6.27000000000004,1004.0,3.6,81.0
53.36,-6.27,2020-03-10 20:41:30,6.27000000000004,1004.0,3.6,81.0
53.34,-6.26,2020-03-10 20:35:03,6.390000000000043,1004.0,4.6,70.0
53.35,-6.27,2020-03-10 20:44:29,6.27000000000004,1004.0,3.6,81.0
53.33,-6.26,2020-03-10 20:46:03,5.980000000000018,1004.0,3.6,81.0
53.36,-6.28,2020-03-10 20:46:03,5.980000000000018,1004.0,3.6,81.0
53.35,-6.28,2020-03-10 20:45:08,6.27000000000004,1004.0,3.6,81.0
53.35,-6.24,2020-03-10 20:46:04,5.980000000000018,1004.0,3.6,81.0
53.35,-6.3,2020-03-10 20:46:04,5.970000000000027,1004.0,3.6,81.0
53.35,-6.23,2020-03-10 20:46:04,5.980000000000018,1004.0,3.6,81.0
53.33,-6.25,2020-03-10 20:32:55,6.390000000000043,1004.0,4.6,70.0
53.34,-6.3,2020-03-10 20:46:04,5.970000000000027,1004.0,3.6,81.0
53.34,-6.23,2020-03-10 20:41:23,6.28000000000003,1004.0,3.6,81.0
53.36,-6.25,2020-03-10 20:46:00,5.980000000000018,1004.0,3.6,81.0
53.35,-6.26,2020-03-10 20:44:46,6.27000000000004,1004.0,3.6,81.0
53.34,-6.25,2020-03-10 21:46:08,6.02000000000004,1005.0,3.6,81.0
53.34,-6.24,2020-03-10 21:45:02,6.02000000000004,1005.0,3.6,81.0
53.34,-6.28,2020-03-10 21:45:03,6.010000000000048,1005.0,3.6,81.0
53.35,-6.29,2020-03-10 21:45:03,6.010000000000048,1005.0,3.6,81.0
53.33,-6.27,2020-03-10 21:44:56,6.02000000000004,1005.0,3.6,81.0
53.34,-6.31,2020-03-10 21:45:04,6.010000000000048,1005.0,3.6,81.0
53.34,-6.29,2020-03-10 21:46:08,6.010000000000048,1005.0,3.6,81.0
53.36,-6.26,2020-03-10 21:43:26,6.02000000000004,1005.0,3.6,81.0
53.34,-6.27,2020-03-10 21:41:17,6.02000000000004,1005.0,3.6,81.0
53.35,-6.25,2020-03-10 21:46:08,6.02000000000004,1005.0,3.6,81.0
53.36,-6.27,2020-03-10 21:41:17,6.02000000000004,1005.0,3.6,81.0
53.34,-6.26,2020-03-10 21:45:56,6.02000000000004,1005.0,3.6,81.0
53.35,-6.27,2020-03-10 21:41:26,6.02000000000004,1005.0,3.6,81.0
53.33,-6.26,2020-03-10 21:46:09,6.02000000000004,1005.0,3.6,81.0
53.36,-6.28,2020-03-10 21:46:09,6.010000000000048,1005.0,3.6,81.0
53.35,-6.28,2020-03-10 21:46:09,6.010000000000048,1005.0,3.6,81.0
53.35,-6.24,2020-03-10 21:45:02,6.02000000000004,1005.0,3.6,81.0
53.35,-6.3,2020-03-10 21:46:10,6.010000000000048,1005.0,3.6,81.0
